session,ChargePoint,Connector,starttime_parking,endtime_parking,StartCard,connected_time_float,charged_time_float,total_energy,max_power,start_hour,day_no,energy_supplied,soc_arr,charged_time,connected_time,ts_arr,ts_dep,ts_soj,laxity,depart_hour,xi,laxity_float
3262784,1825d79e085e3e6c4a071f027cd249ad,1,2019-01-01 19:20:00,2019-01-02 07:26:00,e97d632126cab0a21aedb7964fdd550ea2ebf148143b39165bf2360caf675545,12.1,1.35,15.669,13.0,19,0,14.553,0.7880874999999999,2.0,13.0,166579.0,166592.0,13.0,11.65,32.0,62.78068761477249,10.75
3262781,ba65034d4123e4fcc09c1749d97e6a9a,1,2019-01-01 19:10:00,2019-01-02 08:54:00,78e326e328a89ff06db9813c8428b4d346f4c711ec5310b165da2058e19fd56e,13.73,7.57,25.17,3.508,19,0,77.6,0.0,8.0,14.0,166579.0,166593.0,14.0,6.801484230055658,33.0,36.6525198938992,6.531484230055659
3262845,275b4a0d867ced14c68497d2f5e9268e,1,2019-01-01 21:32:00,2019-01-01 21:50:00,a16832af0977705ea75121950c82d1b7e5ecae7fba44311b1f9b1d82f570c346,0.29,0.29,0.98,3.498,21,0,3.1261999999999994,0.9309225,1.0,1.0,166581.0,166582.0,1.0,0.7100000000000001,22.0,3.826119159355234,5.551115123125783e-17
3262848,20ee968026dafb98ca94f5238cde9689,1,2019-01-01 22:05:00,2019-01-02 08:55:00,efaf8c7d4c715cf170a3106d358526437861614803b6152f3c28bab2fc231ddc,10.83,4.16,28.651,7.255,22,0,44.8448,0.40944,5.0,11.0,166582.0,166593.0,11.0,6.840000000000001,33.0,36.8600775351969,6.670000000000001
3262917,8636e1e27a38d8d57828ada3e890604d,2,2019-01-02 06:56:00,2019-01-02 11:48:00,c843421c4614d77d7ad89c8e700ac74b8372ba3d5da69c26af82507f094d43b3,4.86,3.89,36.12,9.84,6,1,41.9342,0.4458225,4.0,5.0,166590.0,166595.0,5.0,1.11,11.0,5.981679249132829,0.9700000000000002
3262979,58fe66e56204a604073e2b6ac67f6237,2,2019-01-02 07:55:00,2019-01-02 11:02:00,1f94728e31fe41da49460d33eb04f7b0501b7ed005626737b9b4169a9ef544f9,3.11,3.11,18.101,9.32,7,1,33.5258,0.5509275,4.0,4.0,166591.0,166595.0,4.0,0.8900000000000001,11.0,4.796121199755152,0.0
3262921,56dce48ff7b9e82e3e9c49b1553bc75f,1,2019-01-02 07:01:00,2019-01-02 15:40:00,a8330783d7ea156b08b44997996ea47c809c3c6042b526df3039e56ac63230c5,8.66,2.5,6.2,3.36,7,1,26.95,0.6331249999999999,3.0,9.0,166591.0,166600.0,9.0,6.5,16.0,35.02785145888594,6.16
3262957,db591bf72446b3964be265d254f01004,1,2019-01-02 07:31:00,2019-01-02 16:33:00,ec753195d365face017f1e4cf59f91c838c980b0514107317a28cb4a4b84d79f,9.03,3.0,8.73,3.24,7,1,32.34,0.56575,3.0,10.0,166591.0,166601.0,10.0,7.0,17.0,37.722301571107934,6.029999999999999
3263089,879260352d1f160cc292d33f5437bebe,2,2019-01-02 09:40:00,2019-01-02 10:32:00,bdcde260b43524953e0d4eebc3976abd0810692f190baf6f9adcb87b2ec618e1,0.87,0.87,2.66,3.16,9,1,9.3786,0.8527675,1.0,1.0,166593.0,166594.0,1.0,0.1300000000000002,10.0,0.70055702917772,2.220446049250313e-16
3263092,e0d97ad8db1f45f1249d405a54e2c134,2,2019-01-02 09:44:00,2019-01-02 12:16:00,8f1b9478836dd3439e408c96b4dbb29223bcf18123e350a6065878a65bb1c5e8,2.52,2.52,7.789,3.36,9,1,27.1656,0.63043,3.0,3.0,166593.0,166596.0,3.0,0.4800000000000004,12.0,2.586672107733118,4.440892098500626e-16
3263141,442355de8f9f83384109c68ba983a7f1,1,2019-01-02 10:29:00,2019-01-02 10:55:00,d203edea981e64324329e0a3d9f735e48f9dc7952a08cfb19f5e91f7afb42815,0.44,0.44,1.09,3.417,10,1,4.7432,0.91071,1.0,1.0,166594.0,166595.0,1.0,0.5600000000000003,11.0,3.017784125688636,3.3306690738754696e-16
3263117,369165d78a06e004a5f243034c0d9398,1,2019-01-02 10:09:00,2019-01-02 12:38:00,5fd84962e00f609678665ac63b3b9fa63748367e68f6c3001fc527be647b38ef,2.48,2.48,10.99,4.52,10,1,26.7344,0.63582,3.0,3.0,166594.0,166597.0,3.0,0.5200000000000005,13.0,2.802228116710878,4.440892098500626e-16
3263127,92b368571b2ef271bf14b68f9af4a98e,1,2019-01-02 10:15:00,2019-01-02 14:05:00,e9da8f937c1bb99a2bf684dc0d5daf85c3990c17185beee179a315c3953be8bf,3.85,3.09,7.07,3.404,10,1,33.310199999999995,0.5536225,4.0,4.0,166594.0,166598.0,4.0,0.91,14.0,4.903899204244032,0.7600000000000002
3263123,2fde2570e160665447df254954c52d16,2,2019-01-02 10:12:00,2019-01-02 16:14:00,c7a64088203d1782d121ca4f397712c3bc3e3ee6f9b836c60395a2957e2dd54e,6.02,1.95,4.02,3.24,10,1,21.021,0.7072375,2.0,7.0,166594.0,166601.0,7.0,5.05,17.0,27.213946133442157,4.069999999999999
3263228,659d12d1bc831143587c0fb05ef1c215,2,2019-01-02 11:58:00,2019-01-02 14:21:00,f78ccc89ed9b1e92d5c3206746d6799d5f91389085d416126a89cc3aa07d46ef,2.39,2.39,7.99,3.398,11,1,25.7642,0.6479475,3.0,3.0,166595.0,166598.0,3.0,0.6100000000000003,14.0,3.287229136910836,4.440892098500626e-16
3263342,e3d50b6c6597d9677d7d3a4b2419cbab,1,2019-01-02 13:16:00,2019-01-02 17:03:00,0e655cc8844f6b00c945c84c4df352b757f4b07f72bb37f581e7275e50946d42,3.78,3.78,13.53,3.632,13,1,40.7484,0.4606449999999999,4.0,4.0,166597.0,166601.0,4.0,0.2199999999999993,17.0,1.1855580493776745,-8.881784197001252e-16
3263419,d789dcc3c86a2c881ab24388ef65a245,1,2019-01-02 14:27:00,2019-01-03 07:50:00,e5072bde9ef89791a9cd4a9079c940530298bd077a6ed8c444cc5f4f897f9dc0,17.38,1.75,4.82,3.6,14,1,18.865,0.7341875,2.0,18.0,166598.0,166616.0,18.0,16.25,32.0,87.56962864721486,15.63
