session,ChargePoint,Connector,starttime_parking,endtime_parking,StartCard,connected_time_float,charged_time_float,total_energy,max_power,start_hour,day_no,energy_supplied,soc_arr,charged_time,connected_time,ts_arr,ts_dep,ts_soj,laxity,depart_hour,xi,laxity_float
3387031,e62c50d1be0a2f80ec51d471f9630a4e,2,2019-05-01 11:03:00,2019-05-01 11:35:00,d318cefed7a0376b3bc9206ccfe4b71ceef88ad1ec289f688d588fd407fbc8d3,0.53,0.53,1.86,3.6,11,120,5.7134,0.8985825,1.0,1.0,169451.0,169452.0,1.0,0.4699999999999997,12.0,2.5327831054886745,-2.220446049250313e-16
3387085,3b562cdfc2e6459bca8876394db32ee4,1,2019-05-01 11:50:00,2019-05-01 13:22:00,ca5334700863d44404980fe2fe1955551855abf71033c649f9ed4e9049d75bb7,1.52,1.52,5.69,3.764,11,120,16.3856,0.76518,2.0,2.0,169451.0,169453.0,2.0,0.48,13.0,2.5866721077331154,0.0
3387082,7cb8dcf43a22ede0498c4a0240a026e2,1,2019-05-01 11:48:00,2019-05-01 13:57:00,bb5a1705a489de414f01c9da034ad3dd90872975e8a797e62242cf2285d162f1,2.15,2.15,6.91,3.216,11,120,23.177,0.6802875,3.0,3.0,169451.0,169454.0,3.0,0.8500000000000005,14.0,4.580565190777395,4.440892098500626e-16
3387033,50026030a760b9bd6b4bdb17bccecac4,2,2019-05-01 11:04:00,2019-05-01 14:51:00,1e993a845f301adafc028d1d03ab3af67b4520abe34fe3f24ab30eaef7f0eb22,3.78,3.75,9.86,3.56,11,120,40.425,0.4646875,4.0,4.0,169451.0,169455.0,4.0,0.25,15.0,1.3472250561109975,0.0299999999999998
3387207,e1a200358838d1677b3126969a3258c9,2,2019-05-01 13:58:00,2019-05-01 18:01:00,cdff63039c42209f979fb58188dfb502fcc2cb742f2770c304aa20d03e4bc337,4.06,3.36,23.08,7.2,13,120,36.2208,0.51724,4.0,5.0,169453.0,169458.0,5.0,1.64,18.0,8.837796368088146,0.6999999999999997
3387187,1c94041f72fdfbb06276a58f92ee1045,1,2019-05-01 13:30:00,2019-05-02 05:54:00,5e914ab4158338c2a3cf38d54f795af04bced17d4866192af9b54ea956317184,16.4,4.41,24.43,7.713999999999999,13,120,47.5398,0.3757524999999999,5.0,17.0,169453.0,169470.0,17.0,12.59,30.0,67.84625382574984,11.989999999999998
3387223,c92cecb16bd3955b7f367e87ebf38426,1,2019-05-01 14:20:00,2019-05-02 04:51:00,3b6a68e94863a037ad0d719ca50dca293115b223bfe9bd8f3a6a8f24534bc34c,14.52,2.75,29.391,12.88,14,120,29.645,0.5994375,3.0,15.0,169454.0,169469.0,15.0,12.25,29.0,66.0140277494389,11.77
3387293,18ed6d8547952d9f91875f2f684b47d0,2,2019-05-01 15:26:00,2019-05-02 07:12:00,18d4ab938ae506f22020eebdc6b572173eefd4ddf619f5ff7218f57844a86e5e,15.77,1.56,4.21,3.12,15,120,16.8168,0.75979,2.0,16.0,169455.0,169471.0,16.0,14.44,31.0,77.81571924097123,14.21
3387412,a6da649ea84580a4a93209e7b8e0744e,1,2019-05-01 16:44:00,2019-05-01 19:39:00,bb941a952dc0432b98b821acec352faeec420bf0253605e0bd1d9d8a7f9a5512,2.91,2.91,7.42,3.16,16,120,31.3698,0.5778775,3.0,3.0,169456.0,169459.0,3.0,0.0900000000000003,19.0,0.4850010201999608,4.440892098500626e-16
3387430,3d09008d139f9d557828d11160e41b32,1,2019-05-01 16:57:00,2019-05-01 19:55:00,404388d3d0a1a60733376c8448341ee07651e55885e963857b4be833879f90b9,2.97,2.05,16.41,10.56,16,120,22.099,0.6937625000000001,3.0,3.0,169456.0,169459.0,3.0,0.9500000000000006,19.0,5.119455213221794,0.9200000000000008
