date,price_da,price_im,ts
2019-01-06 01:00:00,0,0.04416,166681
2019-01-06 02:00:00,0,0.04914,166682
2019-01-06 03:00:00,0,0.04514,166683
2019-01-06 04:00:00,0,0.06022,166684
2019-01-06 05:00:00,0,0.04781,166685
2019-01-06 06:00:00,0,0.04787,166686
2019-01-06 07:00:00,0,0.06884,166687
2019-01-06 08:00:00,0,0.04924,166688
2019-01-06 09:00:00,0,0.04413,166689
2019-01-06 10:00:00,0,0.05384,166690
2019-01-06 11:00:00,0,0.04984,166691
2019-01-06 12:00:00,0,0.05268,166692
2019-01-06 13:00:00,0,0.09163,166693
2019-01-06 14:00:00,0,0.04868,166694
2019-01-06 15:00:00,0,0.05268,166695
2019-01-06 16:00:00,0,0.04414,166696
2019-01-06 17:00:00,0,0.06912,166697
2019-01-06 18:00:00,0,0.04755,166698
2019-01-06 19:00:00,0,0.04505,166699
2019-01-06 20:00:00,0,0.04507,166700
2019-01-06 21:00:00,0,0.04303,166701
2019-01-06 22:00:00,0,0.04178,166702
2019-01-06 23:00:00,0,0.02413,166703
2019-01-07 00:00:00,0,0.0,166704
2019-01-07 01:00:00,0,0.03061,166705
2019-01-07 02:00:00,0,0.02597,166706
2019-01-07 03:00:00,0,0.04808,166707
2019-01-07 04:00:00,0,0.05168,166708
2019-01-07 05:00:00,0,0.04881,166709
2019-01-07 06:00:00,0,0.04973,166710
2019-01-07 07:00:00,0,0.16852,166711
2019-01-07 08:00:00,0,0.11902,166712
2019-01-07 09:00:00,0,0.04637,166713
2019-01-07 10:00:00,0,0.04555,166714
2019-01-07 11:00:00,0,0.04177,166715
2019-01-07 12:00:00,0,0.06049,166716
2019-01-07 13:00:00,0,0.04596,166717
2019-01-07 14:00:00,0,0.04586,166718
2019-01-07 15:00:00,0,0.04573,166719
2019-01-07 16:00:00,0,0.04678,166720
2019-01-07 17:00:00,0,0.04596,166721
2019-01-07 18:00:00,0,0.03016,166722
2019-01-07 19:00:00,0,0.04357,166723
2019-01-07 20:00:00,0,0.02802,166724
2019-01-07 21:00:00,0,0.0,166725
2019-01-07 22:00:00,0,0.01896,166726
2019-01-07 23:00:00,0,0.03396,166727
2019-01-08 00:00:00,0,0.03416,166728
2019-01-08 01:00:00,0,0.0,166729
2019-01-08 02:00:00,0,0.03212,166730
2019-01-08 03:00:00,0,0.03778,166731
2019-01-08 04:00:00,0,0.03371,166732
2019-01-08 05:00:00,0,0.04081,166733
2019-01-08 06:00:00,0,0.06744,166734
2019-01-08 07:00:00,0,0.04239,166735
2019-01-08 08:00:00,0,0.16084,166736
2019-01-08 09:00:00,0,0.2623,166737
2019-01-08 10:00:00,0,0.06187,166738
2019-01-08 11:00:00,0,0.03215,166739
2019-01-08 12:00:00,0,0.03978,166740
2019-01-08 13:00:00,0,0.04272,166741
2019-01-08 14:00:00,0,0.04815,166742
2019-01-08 15:00:00,0,0.04934,166743
2019-01-08 16:00:00,0,0.06275,166744
2019-01-08 17:00:00,0,0.04239,166745
2019-01-08 18:00:00,0,0.04824,166746
2019-01-08 19:00:00,0,0.04195,166747
2019-01-08 20:00:00,0,0.00428,166748
2019-01-08 21:00:00,0,0.03678,166749
2019-01-08 22:00:00,0,0.02978,166750
2019-01-08 23:00:00,0,0.01697,166751
2019-01-09 00:00:00,0,0.04438,166752
2019-01-09 01:00:00,0,0.04646,166753
2019-01-09 02:00:00,0,0.04595,166754
2019-01-09 03:00:00,0,0.07215,166755
2019-01-09 04:00:00,0,0.0414,166756
2019-01-09 05:00:00,0,0.05194,166757
2019-01-09 06:00:00,0,0.04272,166758
2019-01-09 07:00:00,0,0.04612,166759
2019-01-09 08:00:00,0,0.17335,166760
2019-01-09 09:00:00,0,0.0512,166761
2019-01-09 10:00:00,0,0.0392,166762
2019-01-09 11:00:00,0,0.02404,166763
2019-01-09 12:00:00,0,0.0352,166764
2019-01-09 13:00:00,0,0.0312,166765
2019-01-09 14:00:00,0,0.04612,166766
2019-01-09 15:00:00,0,0.0472,166767
