ts,arr_e_req,client_bill,chg_e_req,imbalance_bill,n_cars,avg_lax
166559.0,,,0.0,0.0,0.0,0.0
166560.0,10.779999999999994,1.5091999999999992,2.6867397195928788e-14,1.031922991501233e-12,1.0,0.24000000000000782
166561.0,0.0,0.0,2.8310687127941492e-14,8.839728948828451e-13,1.0,0.20000000000001605
166562.0,0.0,0.0,4.0190073491430667e-14,8.163407727579396e-13,1.0,0.1600000000000278
166563.0,0.0,0.0,7.105216415226323e-11,1.7592515844100377e-09,1.0,0.12000000002069747
166564.0,0.0,0.0,2.176703262080082e-11,6.765193738544894e-10,1.0,0.08000000002702973
166565.0,0.0,0.0,2.132405363397538e-12,3.787151925394027e-11,1.0,0.04000000002765005
166566.0,0.0,0.0,0.13749999990495299,2.1834999984906536,1.0,0.04
166567.0,0.0,0.0,0.0,0.0,1.0,0.0
166568.0,0.0,0.0,0.0,0.0,0.0,0.0
166569.0,0.0,0.0,0.0,0.0,0.0,0.0
166570.0,24.470599999999997,3.425884,0.13749999998357165,17.272199997936337,1.0,0.02919999999522086
166571.0,40.425000000000004,5.659500000000001,0.037125000016428156,4.977720002202687,2.0,0.08999999999999993
166572.0,35.3584,4.950176000000001,0.19387500000770425,17.064102000678098,4.0,0.09520000000224116
166573.0,25.6564,3.5918960000000006,0.18974999999286518,8.66170799967431,4.0,0.015200000000165614
166574.0,93.247,13.054580000000001,0.7246250000315715,23.94161000104312,8.0,9.35008515057234e-12
166575.0,18.002599999999997,2.520364,0.825,26.4198,6.0,0.01320000000935009
166576.0,18.325999999999993,2.5656399999999993,0.5046250000261729,16.418479000851562,5.0,0.5320000000169641
166577.0,47.21639999999999,6.610296,0.4124999999916577,13.467299999727642,5.0,1.1568000000145373
166578.0,60.907,8.52698,0.2749999999841396,9.013399999480159,6.0,1.8908000000099232
166579.0,100.66919999999999,14.093688,0.11825000000147912,4.2541620000532125,8.0,2.3516593692125802
166580.0,0.0,0.0,0.45512499999996003,5.206629999999544,6.0,2.244059369212568
166581.0,3.126199999999999,0.4376679999999999,0.03987500000080548,1.4862210000300218,7.0,2.004059369212803
166582.0,44.84479999999999,6.278271999999999,0.13750000000006088,4.252600000001882,7.0,2.03765936921282
166583.0,0.0,0.0,0.3643749999992358,7.619809999984019,7.0,1.8636593692125982
166584.0,0.0,0.0,0.8318749999646058,7.207364999693344,7.0,1.8256593692023015
166585.0,0.0,0.0,0.013565770336701366,0.4425696914645454,7.0,1.549605775118433
166586.0,0.0,0.0,0.2749999991336384,7.237999977197362,7.0,1.3496057748664003
166587.0,0.0,0.0,0.013730148111838925,0.4479323520006331,7.0,1.0735999997716628
166588.0,0.0,0.0,0.15950000092151462,4.254184024578638,7.0,0.8400000000397396
166589.0,0.0,0.0,2.832949430597864e-10,1.083773134169519e-08,7.0,0.5600000001221529
166590.0,41.9342,5.870788,0.12237500014686253,6.040430007249134,7.0,0.36000000016487654
166591.0,92.8158,12.994212000000001,1.3749999996971383,-24.06799999469871,10.0,0.935600000026827
166592.0,0.0,0.0,0.5048109474017469,19.477625594549004,8.0,0.7624540938164261
166593.0,36.544200000000004,5.116188000000001,0.5321250020892461,21.497850084405542,8.0,0.6216540944242068
166594.0,85.80879999999999,12.013232,0.22550000000401843,28.72509200051188,10.0,0.5688540944253758
166595.0,25.764199999999995,3.606988,0.46612500007045254,30.622548004628452,8.0,0.4088540944458711
166596.0,0.0,0.0,0.8014390502688076,30.92272431557167,6.0,0.40199999997861524
166597.0,40.748400000000004,5.704776000000001,0.5431250029312917,25.974410140186098,6.0,0.3288
166598.0,46.4618,6.504652,0.13750000004055668,9.033200002664412,6.0,1.5564000000117983
166599.0,0.0,0.0,0.1072500000229496,13.70740800293314,6.0,1.3476000000184747
166600.0,156.72519999999997,21.941527999999998,0.4592500000007827,40.33317200006874,11.0,2.4196593692209287
166601.0,24.039399999999993,3.3655159999999995,0.07975000000000008,11.83936600000001,8.0,2.5936593692209287
166602.0,63.602000000000004,8.904280000000002,0.13750000020607808,5.197500007789752,8.0,2.6376593692808785
166603.0,61.1226,8.557164,0.052250000003238574,2.723270000168795,9.0,2.5060593692818207
166604.0,0.0,0.0,0.2749999999676854,10.36639999878187,9.0,2.2260593692724204
166605.0,0.0,0.0,1.0628749999053722,31.2995429972134,8.0,2.215259369244892
166606.0,0.0,0.0,0.5816249995499416,19.612394984824032,8.0,2.0644593691139663
166607.0,0.0,0.0,0.34649999972419465,12.260555990240904,8.0,1.845259369033732
166608.0,0.0,0.0,1.0999999999212646,20.891199998504657,8.0,1.845259369010827
166609.0,0.0,0.0,8.701728226867544e-11,3.3101374175004136e-09,8.0,1.5252593690361413
166610.0,0.0,0.0,0.27500000019549686,9.86920000701599,8.0,1.2852593690378111
166611.0,0.0,0.0,7.151057523913096e-12,2.7522990198036723e-10,8.0,0.9652593690398915
166612.0,0.0,0.0,3.005977244896485e-09,1.1475618730116822e-07,8.0,0.6452593698666722
166613.0,0.0,0.0,0.2296250002807454,8.325284010178706,6.0,0.4720593699483435
166614.0,35.8974,5.025636,0.16479591580256908,6.224012148031429,6.0,0.3868
166615.0,45.81499999999999,6.4140999999999995,0.14289949043082434,5.495342804007781,6.0,0.7783707608526035
166616.0,77.6,10.864,0.02729591837342507,2.380640816856641,5.0,0.6183707608543716
166617.0,51.9596,7.274344000000001,0.13750000001314716,8.633900000825536,6.0,0.4655707608581963
166618.0,0.0,0.0,0.29562499999751046,15.457639999869826,6.0,0.311570760857472
