ts,arr_e_req,client_bill,chg_e_req,imbalance_bill
166559.0,,,0.0,0.0
166560.0,10.779999999999994,1.5091999999999992,0.13749999999999993,0.05499999999999997
166561.0,0.0,0.0,0.0,0.0
166562.0,0.0,0.0,0.0,0.0
166563.0,0.0,0.0,0.0,0.0
166564.0,0.0,0.0,0.0,0.0
166565.0,0.0,0.0,0.0,0.0
166566.0,0.0,0.0,0.0,0.0
166567.0,0.0,0.0,0.0,0.0
166568.0,0.0,0.0,0.0,0.0
166569.0,0.0,0.0,0.0,0.0
166570.0,24.470599999999997,3.425884,0.1375,0.05500000000000001
166571.0,40.425000000000004,5.659500000000001,0.275,0.11000000000000001
166572.0,35.3584,4.950176000000001,0.43174999999999997,0.1727
166573.0,25.6564,3.5918960000000006,0.41250000000000003,0.16500000000000004
166574.0,93.247,13.054580000000001,0.7919999999999998,0.31679999999999997
166575.0,18.002599999999997,2.520364,0.4963749999999999,0.19854999999999998
166576.0,18.325999999999993,2.5656399999999993,0.3849999999999999,0.15399999999999997
166577.0,47.21639999999999,6.610296,0.5087499999999999,0.2035
166578.0,60.907,8.52698,0.6448749999999999,0.25794999999999996
166579.0,100.66919999999999,14.093688,0.7108749999999999,0.28435
166580.0,0.0,0.0,0.3849999999999999,0.15399999999999997
166581.0,3.126199999999999,0.4376679999999999,0.20487499999999992,0.08194999999999997
166582.0,44.84479999999999,6.278271999999999,0.275,0.11000000000000001
166583.0,0.0,0.0,0.275,0.11000000000000001
166584.0,0.0,0.0,0.275,0.11000000000000001
166585.0,0.0,0.0,0.275,0.11000000000000001
166586.0,0.0,0.0,0.049295918367346564,0.019718367346938628
166587.0,0.0,0.0,0.0,0.0
166588.0,0.0,0.0,0.0,0.0
166589.0,0.0,0.0,0.0,0.0
166590.0,41.9342,5.870788,0.1375,0.05500000000000001
166591.0,92.8158,12.994212000000001,0.55,0.22000000000000003
166592.0,0.0,0.0,0.55,0.22000000000000003
166593.0,36.544200000000004,5.116188000000001,0.7232499999999997,0.2892999999999999
166594.0,85.80879999999999,12.013232,0.6256249999999999,0.25025
166595.0,25.764199999999995,3.606988,0.6146249999999998,0.2458499999999999
166596.0,0.0,0.0,0.34099999999999997,0.1364
166597.0,40.748400000000004,5.704776000000001,0.20349999999999974,0.0813999999999999
166598.0,46.4618,6.504652,0.41250000000000003,0.16500000000000004
166599.0,0.0,0.0,0.37812499999999993,0.15125
166600.0,156.72519999999997,21.941527999999998,0.9184999999999999,0.36739999999999995
166601.0,24.039399999999993,3.3655159999999995,0.627,0.2508
166602.0,63.602000000000004,8.904280000000002,0.6104999999999998,0.24419999999999994
166603.0,61.1226,8.557164,0.5816249999999998,0.23264999999999994
166604.0,0.0,0.0,0.46475,0.1859
166605.0,0.0,0.0,0.34649999999999986,0.13859999999999995
166606.0,0.0,0.0,0.275,0.11000000000000001
166607.0,0.0,0.0,0.16479591836734678,0.06591836734693872
166608.0,0.0,0.0,0.09212499999999982,0.03684999999999993
166609.0,0.0,0.0,0.0,0.0
166610.0,0.0,0.0,0.0,0.0
166611.0,0.0,0.0,0.0,0.0
166612.0,0.0,0.0,0.0,0.0
166613.0,0.0,0.0,0.0,0.0
166614.0,35.8974,5.025636,0.1375,0.05500000000000001
166615.0,45.81499999999999,6.4140999999999995,0.41250000000000003,0.16500000000000004
166616.0,77.6,10.864,0.5499999999999999,0.21999999999999997
166617.0,51.9596,7.274344000000001,0.3547499999999998,0.14189999999999992
166618.0,0.0,0.0,0.275,0.11000000000000001
166619.0,17.679199999999994,2.4750879999999995,0.41250000000000003,0.16500000000000004
166620.0,40.532799999999995,5.674592,0.6379999999999999,0.2552
166621.0,111.24959999999999,15.574944,1.0835,0.4334
166622.0,0.0,0.0,0.5101249999999999,0.20404999999999998
166623.0,85.05419999999998,11.907587999999999,0.6460459183673466,0.2584183673469386
166624.0,50.7738,7.108332000000001,0.6875,0.275
166625.0,95.29519999999997,13.341327999999997,0.9487499999999996,0.3794999999999999
166626.0,72.76499999999999,10.1871,0.9473749999999999,0.37894999999999995
166627.0,75.35220000000001,10.549308000000002,0.9721249999999997,0.3888499999999999
166628.0,33.2024,4.6483360000000005,0.7067499999999997,0.2826999999999999
166629.0,66.297,9.28158,0.6874999999999998,0.2749999999999999
166630.0,0.0,0.0,0.4111249999999999,0.16444999999999999
166631.0,0.0,0.0,0.1484999999999999,0.05939999999999997
166632.0,0.0,0.0,0.1375,0.05500000000000001
166633.0,0.0,0.0,0.1375,0.05500000000000001
166634.0,0.0,0.0,0.1375,0.05500000000000001
166635.0,0.0,0.0,0.02062499999999974,0.008249999999999896
166636.0,0.0,0.0,0.0,0.0
166637.0,0.0,0.0,0.0,0.0
166638.0,37.08319999999999,5.191647999999999,0.275,0.11000000000000001
166639.0,151.35119999999998,21.189168,0.7479999999999998,0.2991999999999999
166640.0,50.0192,7.002688,0.8359999999999999,0.3344
166641.0,78.2628,10.956792,0.6682500000000001,0.26730000000000004
166642.0,0.0,0.0,0.4812499999999999,0.19249999999999998
166643.0,0.0,0.0,0.2942499999999998,0.11769999999999992
166644.0,120.95159999999998,16.933224,0.8250000000000001,0.33000000000000007
166645.0,2.9106000000000076,0.4074840000000011,0.6476249999999997,0.2590499999999999
166646.0,45.922799999999995,6.429192,0.41250000000000003,0.16500000000000004
166647.0,19.942999999999984,2.792019999999998,0.6008749999999997,0.2403499999999999
166648.0,133.54819999999998,18.696748,0.713625,0.28545
166649.0,93.78599999999997,13.130039999999997,1.057375,0.42295
166650.0,120.5204,16.872856000000002,1.1934999999999998,0.47739999999999994
