idSess,soc_dis,t_dis,g,idx_theta_w,idx_theta_l
3604494,0.15419701290749385,3.0,0.46824939628865037,2,1
3604582,0.05893323479191541,3.0,0.4053784905265786,0,1
3604490,0.15419701290749385,3.0,0.46824939628865037,2,1
3604608,0.05893323479191541,6.0,0.6054321344782831,0,2
3604605,0.15419701290749385,3.0,0.46824939628865037,2,1
3604669,0.0,0.0,0.6683030402403549,-1,-1
3604700,0.0,0.0,0.6683030402403549,-1,-1
3604629,0.05893323479191541,3.0,0.4053784905265786,0,1
3604811,0.0,0.0,0.6683030402403549,-1,-1
3604839,0.15419701290749385,6.0,0.6683030402403549,2,2
3604940,0.0,0.0,0.46824939628865037,-1,1
3604894,0.05893323479191541,3.0,0.4053784905265786,0,1
3605005,0.0,0.0,0.6683030402403549,-1,-1
3604977,0.05893323479191541,3.0,0.4053784905265786,0,1
3605020,0.0,0.0,0.6054321344782831,0,-1
3605009,0.0,0.0,0.6054321344782831,0,-1
3605016,0.15419701290749385,2.0,0.3539560514921607,2,0
3605179,0.0,0.0,0.6054321344782831,0,-1
3605137,0.0,0.0,0.6683030402403549,-1,-1
3605304,0.08749642925553869,6.0,0.6282826900491818,1,2
3605222,0.0,0.0,0.6054321344782831,0,-1
3605375,0.0,0.0,0.6683030402403549,-1,-1
3605435,0.0,0.0,0.3539560514921607,-1,0
3605424,0.15419701290749385,6.0,0.6683030402403549,2,2
3605481,0.05893323479191541,3.0,0.4053784905265786,0,1
3605519,0.05893323479191541,3.0,0.4053784905265786,0,1
3605555,0.0,0.0,0.6683030402403549,-1,2
3605569,0.0,0.0,0.6054321344782831,0,-1
3605560,0.08749642925553869,3.0,0.42822904609747725,1,1
3605597,0.0,0.0,0.6054321344782831,0,-1
3605715,0.08749642925553869,3.0,0.42822904609747725,1,1
3605693,0.0,0.0,0.46824939628865037,-1,1
3605688,0.05893323479191541,6.0,0.6054321344782831,0,2
3605669,0.05893323479191541,6.0,0.6054321344782831,0,2
3605862,0.0,0.0,0.46824939628865037,-1,1
3605870,0.0,0.0,0.46824939628865037,-1,1
3605799,0.05893323479191541,3.0,0.4053784905265786,0,1
3606272,0.0,0.0,0.6683030402403549,-1,-1
3605979,0.0,0.0,0.6683030402403549,-1,-1
3605955,0.0,0.0,0.6683030402403549,-1,-1
3605954,0.0,0.0,0.46824939628865037,-1,1
3606064,0.0,0.0,0.6054321344782831,0,-1
3606121,0.08749642925553869,3.0,0.42822904609747725,1,1
3606221,0.0,0.0,0.6683030402403549,-1,-1
3606262,0.0,0.0,0.6683030402403549,-1,-1
3606205,0.0,0.0,0.6683030402403549,-1,-1
3606279,0.0,0.0,0.6683030402403549,-1,-1
3606274,0.15419701290749385,3.0,0.46824939628865037,2,1
3606363,0.0,0.0,0.6054321344782831,0,-1
3606385,0.08749642925553869,6.0,0.6282826900491818,1,2
3606504,0.05893323479191541,3.0,0.4053784905265786,0,1
3606467,0.0,0.0,0.46824939628865037,-1,1
3606634,0.0,0.0,0.6683030402403549,-1,-1
3606633,0.0,0.0,0.46824939628865037,-1,1
3606610,0.15419701290749385,3.0,0.46824939628865037,2,1
3606532,0.15419701290749385,3.0,0.46824939628865037,2,1
3606732,0.0,0.0,0.6683030402403549,-1,-1
3606692,0.05893323479191541,6.0,0.6054321344782831,0,2
3606728,0.05893323479191541,6.0,0.6054321344782831,0,2
3606769,0.0,0.0,0.6054321344782831,0,-1
3606752,0.0,0.0,0.6054321344782831,0,-1
3606791,0.0,0.0,0.6054321344782831,0,-1
3606836,0.0,0.0,0.6683030402403549,-1,-1
3606840,0.15419701290749385,6.0,0.6683030402403549,2,2
3606886,0.0,0.0,0.6683030402403549,-1,-1
3606990,0.0,0.0,0.6683030402403549,-1,-1
3607097,0.05893323479191541,3.0,0.4053784905265786,0,1
3607064,0.15419701290749385,2.0,0.3539560514921607,2,0
3607188,0.0,0.0,0.46824939628865037,-1,1
3607209,0.0,0.0,0.6054321344782831,0,-1
3607254,0.0,0.0,0.3539560514921607,-1,0
3607248,0.05893323479191541,6.0,0.6054321344782831,0,2
3607217,0.0,0.0,0.6054321344782831,0,-1
3607305,0.0,0.0,0.6683030402403549,-1,-1
3607324,0.05893323479191541,3.0,0.4053784905265786,0,1
3607318,0.05893323479191541,3.0,0.4053784905265786,0,1
3607313,0.0,0.0,0.6683030402403549,-1,2
3607400,0.0,0.0,0.3539560514921607,-1,0
3607405,0.0,0.0,0.6054321344782831,0,-1
3607410,0.08749642925553869,6.0,0.6282826900491818,1,2
3607468,0.0,0.0,0.6054321344782831,0,-1
