idSess,w,t_dis,g,idx_theta_w,idx_theta_l
3261657,4.714658783353233,6.0,0.6054321344782831,0,2
3262038,12.335761032599509,3.0,0.46824939628865037,-1,1
3262129,6.999714340443095,6.0,0.6282826900491818,1,2
3262170,4.714658783353233,3.0,0.4053784905265786,0,1
3262208,12.335761032599509,6.0,0.6683030402403549,-1,-1
3262308,12.335761032599509,3.0,0.46824939628865037,-1,1
3262735,12.335761032599509,6.0,0.6683030402403549,-1,-1
3262383,12.335761032599509,6.0,0.6683030402403549,-1,-1
3262324,4.714658783353233,6.0,0.6054321344782831,0,-1
3262404,12.335761032599509,3.0,0.46824939628865037,-1,1
3262516,12.335761032599509,6.0,0.6683030402403549,-1,-1
3262598,4.714658783353233,6.0,0.6054321344782831,0,2
3262697,4.714658783353233,3.0,0.4053784905265786,0,1
3262660,6.999714340443095,6.0,0.6282826900491818,1,2
3262737,6.999714340443095,3.0,0.42822904609747725,1,1
3262755,4.714658783353233,6.0,0.6054321344782831,0,-1
3262795,12.335761032599509,2.0,0.3539560514921607,-1,0
3262784,12.335761032599509,2.0,0.3539560514921607,2,0
3262781,12.335761032599509,6.0,0.6683030402403549,-1,2
3262845,12.335761032599509,2.0,0.3539560514921607,-1,0
3262848,4.714658783353233,6.0,0.6054321344782831,0,2
3262917,4.714658783353233,3.0,0.4053784905265786,0,1
3262979,4.714658783353233,3.0,0.4053784905265786,0,1
3262921,6.999714340443095,6.0,0.6282826900491818,1,2
3262957,12.335761032599509,6.0,0.6683030402403549,2,2
3263089,6.999714340443095,6.0,0.6282826900491818,1,-1
3263092,12.335761032599509,3.0,0.46824939628865037,-1,1
3263141,4.714658783353233,6.0,0.6054321344782831,0,-1
3263117,4.714658783353233,6.0,0.6054321344782831,0,-1
3263127,4.714658783353233,3.0,0.4053784905265786,0,1
3263123,12.335761032599509,6.0,0.6683030402403549,2,2
3263228,12.335761032599509,3.0,0.46824939628865037,-1,1
3263342,4.714658783353233,6.0,0.6054321344782831,0,-1
3263419,12.335761032599509,3.0,0.46824939628865037,2,1
3263398,4.714658783353233,3.0,0.4053784905265786,0,1
3263583,6.999714340443095,6.0,0.6282826900491818,1,-1
3263592,4.714658783353233,6.0,0.6054321344782831,0,-1
3263542,4.714658783353233,6.0,0.6054321344782831,0,-1
3263607,12.335761032599509,6.0,0.6683030402403549,-1,-1
