ts,arr_e_req,client_bill
166559.0,,
166560.0,13.179999999999993,1.845199999999999
166561.0,,
166562.0,,
166563.0,,
166564.0,,
166565.0,,
166566.0,,
166567.0,,
166568.0,,
166569.0,,
166570.0,26.870599999999996,3.761884
166571.0,42.825,5.995500000000001
166572.0,11.778600000000012,1.6490040000000017
166572.0,40.158400000000015,5.622176000000002
166573.0,28.056400000000004,3.927896000000001
166574.0,8.867999999999995,1.2415199999999995
166574.0,24.5274,3.4338360000000003
166574.0,49.8888,6.984432000000001
166574.0,102.84700000000001,14.398580000000003
166575.0,20.4026,2.856364
166576.0,20.726,2.90164
166577.0,24.714599999999997,3.460044
166577.0,52.016400000000004,7.282296000000001
166578.0,28.811,4.03354
166578.0,65.707,9.19898
166579.0,10.916200000000003,1.5282680000000006
166579.0,27.869200000000006,3.9016880000000014
166579.0,107.8692,15.101688000000003
166580.0,,
166581.0,5.526200000000003,0.7736680000000005
166582.0,47.2448,6.614272000000001
166583.0,,
166584.0,,
166585.0,,
166586.0,,
166587.0,,
166588.0,,
166589.0,,
166590.0,44.334199999999996,6.206788
166591.0,35.925799999999995,5.029612
166591.0,65.2758,9.138612000000002
166591.0,100.01580000000001,14.002212000000004
166592.0,,
166593.0,11.778600000000012,1.6490040000000017
166593.0,41.34420000000001,5.788188000000002
166594.0,7.143199999999993,1.0000479999999992
166594.0,36.2776,5.078864
166594.0,71.9878,10.078292
166594.0,95.4088,13.357232000000002
166595.0,28.1642,3.9429880000000006
166596.0,,
166597.0,43.148399999999995,6.040776
166598.0,21.265,2.9771000000000005
166598.0,51.26180000000001,7.176652000000002
166599.0,,
166600.0,6.065200000000004,0.8491280000000007
166600.0,24.850800000000007,3.479112000000001
166600.0,38.67760000000001,5.414864000000002
166600.0,67.38080000000001,9.433312000000003
166600.0,91.1252,12.757528000000002
166600.0,171.1252,23.957528000000003
166601.0,26.4394,3.7015160000000003
166602.0,28.056400000000004,3.927896000000001
166602.0,68.402,9.57628
166603.0,63.5226,8.893164
166604.0,,
166605.0,,
166606.0,,
166607.0,,
166608.0,,
166609.0,,
166610.0,,
166611.0,,
166612.0,,
166613.0,,
166614.0,38.2974,5.361636000000001
166615.0,23.96,3.3544000000000005
166615.0,50.615,7.086100000000001
166616.0,80.0,11.200000000000001
166617.0,54.35960000000001,7.610344000000001
166618.0,,
166619.0,20.079199999999993,2.8110879999999994
166620.0,17.7076,2.479064
166620.0,45.33279999999999,6.346591999999999
166621.0,9.730399999999989,1.3622559999999986
166621.0,26.898999999999994,3.7658599999999995
166621.0,39.6478,5.550692
166621.0,73.52539999999999,10.293555999999999
166621.0,123.24959999999999,17.254944
166622.0,,
166623.0,8.652399999999986,1.2113359999999982
166623.0,32.935799999999986,4.611011999999999
166623.0,92.25419999999998,12.915588
166624.0,18.3544,2.569616
166624.0,55.5738,7.7803320000000005
166625.0,13.179999999999993,1.845199999999999
166625.0,46.19519999999999,6.467327999999999
166625.0,68.96939999999998,9.655715999999998
166625.0,104.89519999999997,14.685327999999998
166626.0,32.045,4.486300000000001
166626.0,77.565,10.859100000000002
166627.0,43.25620000000001,6.055868000000001
166627.0,80.15220000000001,11.221308000000002
166628.0,35.6024,4.984336000000001
166629.0,68.697,9.617580000000002
166630.0,,
166631.0,,
166632.0,,
166633.0,,
166634.0,,
166635.0,,
166636.0,,
166637.0,,
166638.0,21.157199999999996,2.9620079999999995
