name,transf,client,payoff,total
lay_act_crit_0,12974.04192912848,40033.958664000005,1535.1079069840248,25524.808827887504
lay_act_crit_1,13052.79358696429,40033.958664000005,1535.1079069840248,25446.057170051692
lay_act_crit_2,13035.272239310638,40033.958664000005,1535.1079069840248,25463.578517705344
lay_act_crit_3,13045.229030842978,40033.958664000005,1535.1079069840248,25453.621726173
lay_act_crit_4,13005.47025897507,40033.958664000005,1535.1079069840248,25493.38049804091
lay_act_crit_5,13042.138881969722,40033.958664000005,1535.1079069840248,25456.711875046258
lay_act_crit_6,13022.86353897224,40033.958664000005,1535.1079069840248,25475.98721804374
lay_act_crit_7,12993.572631440744,40033.958664000005,1535.1079069840248,25505.278125575238
lay_act_crit_8,12962.282774277577,40033.958664000005,1535.1079069840248,25536.567982738405
lay_act_crit_9,12920.043676931917,40033.958664000005,1535.1079069840248,25578.807080084065
lay_act_crit_10,12847.976960295007,40033.958664000005,1535.1079069840248,25650.873796720974
lay_act_crit_11,12843.073210335291,40033.958664000005,1535.1079069840248,25655.77754668069
lay_act_crit_12,12812.635707076934,40033.958664000005,1535.1079069840248,25686.21504993905
lay_act_crit_13,12826.792256675344,40033.958664000005,1535.1079069840248,25672.058500340638
lay_act_crit_14,12780.186768291413,40033.958664000005,1535.1079069840248,25718.66398872457
lay_act_crit_15,12813.224857321577,40033.958664000005,1535.1079069840248,25685.625899694405
lay_act_crit_16,12783.308603939031,40033.958664000005,1535.1079069840248,25715.54215307695
lay_act_crit_17,12816.627425455852,40033.958664000005,1535.1079069840248,25682.22333156013
lay_act_crit_18,12882.114561391458,40033.958664000005,1535.1079069840248,25616.736195624526
lay_act_crit_19,12934.493729232716,40033.958664000005,1535.1079069840248,25564.357027783266
lay_act_crit_20,13035.892066456821,40033.958664000005,1535.1079069840248,25462.95869055916
lay_act_crit_21,12903.569330390728,40033.958664000005,1535.1079069840248,25595.281426625254
lay_act_crit_22,12936.204865076796,40033.958664000005,1535.1079069840248,25562.645891939184
lay_act_crit_23,12935.749377013575,40033.958664000005,1535.1079069840248,25563.101380002405
lay_act_crit_24,12959.670512153483,40033.958664000005,1535.1079069840248,25539.1802448625
lay_act_crit_smalrwd_0,13098.655789888655,40033.958664000005,1535.1079069840248,25400.19496712733
lay_act_crit_smalrwd_1,13122.61996972023,40033.958664000005,1535.1079069840248,25376.23078729575
lay_act_crit_smalrwd_2,13105.703465482904,40033.958664000005,1535.1079069840248,25393.147291533078
lay_act_crit_smalrwd_3,12959.11810220665,40033.958664000005,1535.1079069840248,25539.73265480933
lay_act_crit_smalrwd_4,12854.858100028094,40033.958664000005,1535.1079069840248,25643.992656987888
lay_act_crit_smalrwd_5,12837.050979730266,40033.958664000005,1535.1079069840248,25661.799777285716
lay_act_crit_smalrwd_6,12721.116062855272,40033.958664000005,1535.1079069840248,25777.73469416071
lay_act_crit_smalrwd_7,12892.24608478617,40033.958664000005,1535.1079069840248,25606.604672229812
lay_act_crit_smalrwd_8,12936.195900532295,40033.958664000005,1535.1079069840248,25562.65485648369
lay_act_crit_smalrwd_9,12871.761881025166,40033.958664000005,1535.1079069840248,25627.088875990816
lay_act_crit_smalrwd_10,12841.41001731984,40033.958664000005,1535.1079069840248,25657.440739696143
lay_act_crit_smalrwd_11,12853.66736996646,40033.958664000005,1535.1079069840248,25645.18338704952
sep_0,12960.070224806512,40033.958664000005,1534.9857487087525,25538.902690484738
sep_1,12921.72600539625,40033.958664000005,1534.9857487087525,25577.246909895002
sep_2,12868.884199406779,40033.958664000005,1534.9857487087525,25630.088715884474
sep_3,13025.130723549193,40033.958664000005,1534.9857487087525,25473.84219174206
sep_4,13095.236874056163,40033.958664000005,1534.9857487087525,25403.736041235086
sep_5,13120.404490510326,40033.958664000005,1534.9857487087525,25378.568424780926
sep_6,13061.721976712695,40033.958664000005,1534.9857487087525,25437.250938578556
sep_7,13050.624334682687,40033.958664000005,1534.9857487087525,25448.348580608563
sep_8,13041.454000110813,40033.958664000005,1534.9857487087525,25457.51891518044
sep_9,13107.48922670411,40033.958664000005,1534.9857487087525,25391.48368858714
