Disaggregator,Min.,Mean,Max.
Least Laxity First,2800.576475749911,2871.287416294131,2928.2502676304075
Proportionally Fair (original),2860.2904001622173,2903.0389888658437,2968.6611290763485
Least Remaining Time First,2887.971428682372,2944.405007287165,3019.41693149577
Most Remaining Time First,3038.556666428088,3136.729357753009,3281.3995079135834
Most Laxity First,3083.3648915596377,3190.012671832352,3339.090144251564
